Requested device argument: cuda
torch.cuda.is_available(): True
Loading scaler bundle from: models/scaler_bundle.json
Stage-2 dataset: raw=121334, kept=121334
Cutflow: {'raw': 121334, 'finite': 121334, 'pid': 121334, 'quality': 121334}
Mechanical hole center bank: foil 0: 67 holes, foil 1: 80 holes, foil 2: 77 holes
Stage-2 trainer device: cuda
CUDA ready: index=0, name=NVIDIA GeForce RTX 4060 Ti, capability=8.9, total_memory=16.0 GB
Loaded stage-1 checkpoint from models/best_pretrain.pth (epoch 32, val_loss=0.010131)
Model parameter device after load: cuda:0
[Epoch   53/80] phase=correction_branch train=0.03138  val=0.04277  select=0.09856(ytar_center_rmse)  delta_dead=0.0197  xptar_dead=0.0522  yptar_dead=0.0292  ytar_dead=0.0986  (1.6s)
[Epoch   54/80] phase=correction_branch train=0.03130  val=0.03918  select=0.09691(ytar_center_rmse)  delta_dead=0.0174  xptar_dead=0.0473  yptar_dead=0.0263  ytar_dead=0.0969  (1.7s)
[Epoch   55/80] phase=correction_branch train=0.03123  val=0.03981  select=0.09711(ytar_center_rmse)  delta_dead=0.0174  xptar_dead=0.0483  yptar_dead=0.0253  ytar_dead=0.0971  (1.7s)
[Epoch   56/80] phase=correction_branch train=0.03117  val=0.03995  select=0.09605(ytar_center_rmse)  delta_dead=0.0188  xptar_dead=0.0490  yptar_dead=0.0262  ytar_dead=0.0960  (1.6s)
[Epoch   57/80] phase=correction_branch train=0.03112  val=0.03999  select=0.09845(ytar_center_rmse)  delta_dead=0.0177  xptar_dead=0.0484  yptar_dead=0.0263  ytar_dead=0.0984  (1.7s)
[Epoch   58/80] phase=correction_branch train=0.03112  val=0.03836  select=0.09769(ytar_center_rmse)  delta_dead=0.0171  xptar_dead=0.0450  yptar_dead=0.0250  ytar_dead=0.0977  (1.7s)
[Epoch   59/80] phase=correction_branch train=0.03107  val=0.04218  select=0.09722(ytar_center_rmse)  delta_dead=0.0175  xptar_dead=0.0508  yptar_dead=0.0290  ytar_dead=0.0972  (1.6s)
[Epoch   60/80] phase=correction_branch train=0.03098  val=0.03947  select=0.09575(ytar_center_rmse)  delta_dead=0.0175  xptar_dead=0.0482  yptar_dead=0.0259  ytar_dead=0.0957  (1.6s)
[Epoch   61/80] phase=correction_branch train=0.03094  val=0.03975  select=0.09633(ytar_center_rmse)  delta_dead=0.0171  xptar_dead=0.0484  yptar_dead=0.0254  ytar_dead=0.0963  (1.6s)
[Epoch   62/80] phase=correction_branch train=0.03099  val=0.04047  select=0.09601(ytar_center_rmse)  delta_dead=0.0184  xptar_dead=0.0498  yptar_dead=0.0261  ytar_dead=0.0960  (1.7s)
[Epoch   63/80] phase=correction_branch train=0.03090  val=0.03987  select=0.09553(ytar_center_rmse)  delta_dead=0.0179  xptar_dead=0.0485  yptar_dead=0.0261  ytar_dead=0.0955  (1.7s)
[Epoch   64/80] phase=correction_branch train=0.03089  val=0.03971  select=0.09500(ytar_center_rmse)  delta_dead=0.0172  xptar_dead=0.0483  yptar_dead=0.0260  ytar_dead=0.0950  (1.7s)
[Epoch   65/80] phase=correction_branch train=0.03089  val=0.04059  select=0.09592(ytar_center_rmse)  delta_dead=0.0179  xptar_dead=0.0494  yptar_dead=0.0274  ytar_dead=0.0959  (1.7s)
[Epoch   66/80] phase=correction_branch train=0.03091  val=0.03924  select=0.09562(ytar_center_rmse)  delta_dead=0.0167  xptar_dead=0.0474  yptar_dead=0.0263  ytar_dead=0.0956  (1.7s)
[Epoch   67/80] phase=correction_branch train=0.03094  val=0.04008  select=0.09560(ytar_center_rmse)  delta_dead=0.0175  xptar_dead=0.0484  yptar_dead=0.0267  ytar_dead=0.0956  (1.7s)
[Epoch   68/80] phase=correction_branch train=0.03087  val=0.04008  select=0.09492(ytar_center_rmse)  delta_dead=0.0186  xptar_dead=0.0488  yptar_dead=0.0259  ytar_dead=0.0949  (1.7s)
[Epoch   69/80] phase=correction_branch train=0.03081  val=0.04074  select=0.09510(ytar_center_rmse)  delta_dead=0.0186  xptar_dead=0.0494  yptar_dead=0.0275  ytar_dead=0.0951  (1.6s)
[Epoch   70/80] phase=correction_branch train=0.03083  val=0.04021  select=0.09499(ytar_center_rmse)  delta_dead=0.0180  xptar_dead=0.0488  yptar_dead=0.0269  ytar_dead=0.0950  (1.6s)
[Epoch   71/80] phase=correction_branch train=0.03084  val=0.03954  select=0.09488(ytar_center_rmse)  delta_dead=0.0178  xptar_dead=0.0479  yptar_dead=0.0266  ytar_dead=0.0949  (1.6s)
[Epoch   72/80] phase=correction_branch train=0.03084  val=0.04037  select=0.09506(ytar_center_rmse)  delta_dead=0.0183  xptar_dead=0.0491  yptar_dead=0.0264  ytar_dead=0.0951  (1.6s)
[Epoch   73/80] phase=correction_branch train=0.03078  val=0.03990  select=0.09457(ytar_center_rmse)  delta_dead=0.0179  xptar_dead=0.0486  yptar_dead=0.0266  ytar_dead=0.0946  (1.6s)
[Epoch   74/80] phase=correction_branch train=0.03073  val=0.04028  select=0.09440(ytar_center_rmse)  delta_dead=0.0187  xptar_dead=0.0493  yptar_dead=0.0268  ytar_dead=0.0944  (1.7s)
[Epoch   75/80] phase=correction_branch train=0.03075  val=0.03978  select=0.09476(ytar_center_rmse)  delta_dead=0.0181  xptar_dead=0.0483  yptar_dead=0.0262  ytar_dead=0.0948  (1.7s)
[Epoch   76/80] phase=correction_branch train=0.03075  val=0.04021  select=0.09500(ytar_center_rmse)  delta_dead=0.0179  xptar_dead=0.0485  yptar_dead=0.0269  ytar_dead=0.0950  (1.6s)
[Epoch   77/80] phase=correction_branch train=0.03070  val=0.04010  select=0.09480(ytar_center_rmse)  delta_dead=0.0177  xptar_dead=0.0486  yptar_dead=0.0266  ytar_dead=0.0948  (1.7s)
[Epoch   78/80] phase=correction_branch train=0.03070  val=0.04034  select=0.09496(ytar_center_rmse)  delta_dead=0.0182  xptar_dead=0.0491  yptar_dead=0.0267  ytar_dead=0.0950  (1.6s)
[Epoch   79/80] phase=correction_branch train=0.03079  val=0.03983  select=0.09473(ytar_center_rmse)  delta_dead=0.0179  xptar_dead=0.0482  yptar_dead=0.0268  ytar_dead=0.0947  (1.7s)
[Epoch   80/80] phase=correction_branch train=0.03074  val=0.04009  select=0.09461(ytar_center_rmse)  delta_dead=0.0181  xptar_dead=0.0487  yptar_dead=0.0266  ytar_dead=0.0946  (1.6s)

Best checkpoint metric: 0.094400 (ytar_center_rmse) | val_loss=0.040283 -> models/common_holes_v3\best_finetune.pth
